id,title,description,ingredients,image
2,Latte,"Som den mest populära kaffedrycken där ute består latte av en skvätt espresso och ångad mjölk med bara en gnutta skum. Den kan beställas utan smak eller med smak av allt från vanilj till pumpa kryddor.","{Espresso,Ångad mjölk}","https://images.unsplash.com/photo-1561882468-9110e03e0f78?auto=format&fit=crop&q=60&w=800"
3,Caramel Latte,"Om du gillar latte med en speciell smak kan karamell latte vara det bästa alternativet för att ge dig en upplevelse av den naturliga sötman och krämigheten hos ångad mjölk och karamell.","{Espresso,Ångad mjölk,Karamellsirap}","https://images.unsplash.com/photo-1599398054066-846f28917f38?auto=format&fit=crop&q=80&w=1887"
4,Cappuccino,"Cappuccino är en latte som är gjord med mer skum än ångad mjölk, ofta med ett strö av kakaopulver eller kanel på toppen.","{Espresso,Ångad mjölk,Foam}","https://images.unsplash.com/photo-1557006021-b85faa2bc5e2?auto=format&fit=crop&q=80&w=1887"
5,Americano,"Med en liknande smak som svart kaffe består americano av en espresso skott utspätt med hett vatten.","{Espresso,Hett vatten}","https://images.unsplash.com/photo-1532004491497-ba35c367d634?auto=format&fit=crop&q=80&w=1887"
6,Espresso,"Ett espressoskott kan serveras ensamt eller användas som grund för de flesta kaffedrycker.","{Espresso}","https://images.unsplash.com/photo-1579992357154-faf4bde95b3d?auto=format&fit=crop&q=80&w=1887"
7,Macchiato,"Macchiaton är en annan espresso-baserad dryck med en liten mängd skum på toppen.","{Espresso,Foam}","https://images.unsplash.com/photo-1557772611-722dabe20327?auto=format&fit=crop&q=80&w=1887"
8,Mocha,"Mocha är en choklad-espressodryck med ångad mjölk och skum.","{Espresso,Ångad mjölk,Choklad}","https://images.unsplash.com/photo-1607260550778-aa9d29444ce1?auto=format&fit=crop&q=80&w=1887"
9,Hot Chocolate,"En kopp varm choklad som får dig att känna dig bekväm och lycklig.","{Choklad,Mjölk}","https://images.unsplash.com/photo-1542990253-0d0f5be5f0ed?auto=format&fit=crop&q=60&w=800"
10,Chai Latte,"Chai latte kombinerar kardemumma och kanel för en underbar smak.","{Te,Mjölk,Ingefära,Kardemumma,Kanel}","https://images.unsplash.com/photo-1578899952107-9c390f1af1b7?w=900&auto=format&fit=crop&q=60"
11,Matcha Latte,"Matcha latte är en grön, hälsosam kaffedryck med mild koffeinkick.","{Matcha-pulver,Mjölk,Socker*}","https://images.unsplash.com/photo-1536256263959-770b48d82b0a?w=900&auto=format&fit=crop&q=60"
12,Seasonal Brew,"Säsongskaffe med smaktoner som karamell, frukt och choklad.","{Kaffe}","https://images.unsplash.com/photo-1611162458324-aae1eb4129a4?w=900&auto=format&fit=crop&q=60"
13,Svart Te,"Svart te föddes i Kina och är en varm, smakfull dryck.","{Te}","https://images.unsplash.com/photo-1576092768241-dec231879fc3?auto=format&fit=crop&q=60&w=800"
14,Islatte,"Iced latte görs med espresso och kyld mjölk, serveras med is.","{Espresso,Mjölk,Is,Sirap}","https://images.unsplash.com/photo-1517701550927-30cf4ba1dba5?auto=format&fit=crop&q=60&w=800"
15,Islatte Mocha,"Kombination av latte och mocha, perfekt för kalla dryckälskare.","{Espresso,Is,Mjölk,Choklad}","https://images.unsplash.com/photo-1642647391072-6a2416f048e5?auto=format&fit=crop&q=60&w=800"
16,Frapino Caramel,"Skakad kaffe med vispad grädde på toppen. Ett måste för sommardagar.","{Coffee,Is,Mjölk,Karamellsirap,Vispgrädde*,Karamellsås}","https://images.unsplash.com/photo-1662047102608-a6f2e492411f?auto=format&fit=crop&q=60&w=800"
17,Frapino Mocka,"En kall dryck för chokladälskare – som en shake med vispad grädde.","{Coffee,Is,Mjölk,Cocoa,Vispgrädde*}","https://images.unsplash.com/photo-1530373239216-42518e6b4063?auto=format&fit=crop&q=60&w=800"
18,Apelsinjuice,"Nypressad apelsinjuice – fräsch, naturlig och uppfriskande.","{Färska Apelsiner,Is}","https://images.unsplash.com/photo-1600271886742-f049cd451bba?auto=format&fit=crop&q=60&w=800"
19,Frozen Lemonade,"Frozen lemonade – citronsaft, is och sötning i perfekt kombination.","{Citronsaft,Is,Socker*}","https://images.unsplash.com/photo-1523371054106-bbf80586c38c?w=900&auto=format&fit=crop&q=60"
20,Lemonad,"Söt, färglös, kolsyrad dryck med citronsaft och honung.","{Citronsaft,Kolsyrat vatten,Honung}","https://images.unsplash.com/photo-1621263764928-df1444c5e859?auto=format&fit=crop&q=60&w=800"
21,Latte Noisette,"Un café latte avec sirop de noisette.","{Expresso,Lait,Sirop}","https://images.ctfassets.net/v601h1fyjgba/3bxPeyxH6YlWxBUlPuCgPE/9ac292d4d71ac65d6ec53ee51f3534ab/Mocha_Hazelnut_Latte.jpg"
22,Latte Amaretto,"Un café latte avec sirop saveur amaretto.","{Lait,Sirop}","https://static.hanos.nl/medias/han-ban-fx-chilly-amaretto-latte-2306-747x498.jpg.jpg"
24,Latte Choco Noisette,"Un café latte avec sirop chocolat et éclats de noisettes.","{Expresso,Lait,Sirop,Noisette}","https://www.cafecoffeeday.com/thelounge/images/ccd-lounge-choco-latte-side.jpg"
